xcoord,ycoord,ID_GRID,L15_KOTLY,L15_PIECE,L15_KOMINK,L15_SUMA_P,L16_KOTLY,L16_PIECE,L16_KOMINK,L16_SUMA_P,L17_KOTLY,L17_PIECE,L17_KOMINK,L17_SUMA_P,INW_DWD
19.9555915126723,49.9703655314986,1256,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.959772921839,49.9704031029343,1259,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9499967534909,49.9712141700844,1511,1,0,0,1,0,0,0,0,0,0,0,0,2016-12-31
19.9513905775883,49.9712267780095,1512,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.952784402671,49.9712393691914,1513,1,0,0,1,1,0,0,1,1,0,0,1,2015-02-27
19.9541782287376,49.9712519436299,1514,3,0,0,3,3,0,0,3,2,0,0,2,2017-04-30
19.9555720557868,49.971264501325,1515,1,0,0,1,1,0,0,1,1,0,0,1,2015-02-27
19.9569658838174,49.9712770422768,1516,1,0,0,1,0,0,0,0,0,0,0,0,2016-12-31
19.9583597128279,49.971289566485,1517,1,0,0,1,1,0,0,1,0,0,0,0,2017-04-30
19.9597535428171,49.9713020739499,1518,5,0,1,6,4,0,1,5,4,0,0,4,2017-04-30
19.9611473737838,49.9713145646712,1519,1,0,0,1,1,0,0,1,0,0,0,0,2017-04-30
19.9625412057265,49.971327038649,1520,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9568492776489,49.9766708605589,1842,1,1,0,2,1,1,0,2,1,1,0,2,2015-02-27
19.9638192112524,49.9767333260271,1847,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9652132008999,49.9767457688805,1848,3,1,1,5,1,1,1,3,1,1,1,3,2016-12-31
19.9861231615839,49.9769304020534,1863,2,0,0,2,1,0,0,1,1,0,0,1,2016-12-31
19.9875171666349,49.9769425769551,1864,1,0,0,1,1,0,0,1,1,0,0,1,2015-02-27
19.9568298398565,49.977569829763,1894,2,0,0,2,2,0,0,2,2,0,0,2,2015-02-27
19.9582238505853,49.9775823567465,1895,4,0,0,4,4,0,0,4,3,0,0,3,2017-07-31
19.9596178622933,49.9775948669828,1896,2,0,0,2,2,0,0,2,2,0,0,2,2015-02-27
19.9610118749791,49.9776073604719,1897,2,0,0,2,2,0,0,2,1,0,0,1,2017-07-31
19.9624058886415,49.9776198372137,1898,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9637999032791,49.9776322972083,1899,2,0,0,2,2,0,0,2,2,0,0,2,2015-02-27
19.9861042690422,49.9778293794727,1915,1,0,0,1,0,0,0,0,0,0,0,0,2016-12-31
19.9874983000582,49.9778415547597,1916,4,0,0,4,3,0,0,3,3,0,0,3,2016-12-31
19.9888923320259,49.977853713299,1917,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.8761045832935,49.9714209373001,2229,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.877498379253,49.9714344330067,2230,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
